,,,,,,,,,
,5708,过瘾,guò yǐn,to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling,8405,134230,"0,001578%",6,7–9
,5709,过硬,guò yìng,to have perfect mastery of sth; to be up to the mark,11421,89366,"0,001050%", ,7–9
,5710,过早,guò zǎo,premature; untimely,10379,101517,"0,001193%", ,7–9
,5711,海岸,hǎi àn,coastal; seacoast,6501,186569,"0,002193%", ,7–9
,5712,海拔,hǎi bá,height above sea level; elevation,5922,207531,"0,002439%",6,7–9
,5713,海滨,hǎi bīn,shore; seaside,7654,151689,"0,001783%",6,7–9
,5714,海盗,hǎi dào,pirate,8865,124707,"0,001466%", ,7–9
,5715,海量,hǎi liàng,huge volume,16889,51422,"0,000604%", ,7–9
,5716,海绵,hǎi mián,"sponge (zoology); sponge (piece of absorbent material, either natural or made from plastic etc); foam rubber",9966,107370,"0,001262%", ,7–9
,5717,海面,hǎi miàn,sea level; sea surface,9145,120015,"0,001411%", ,7–9
,5718,海内外,hǎi nèi wài,domestic and international; at home and abroad,7680,151092,"0,001776%", ,7–9
,5719,海滩,hǎi tān,beach,8311,136043,"0,001599%", ,7–9
,5720,海峡,hǎi xiá,channel; strait,5397,233872,"0,002749%", ,7–9
,5721,海啸,hǎi xiào,tsunami,6364,191016,"0,002245%", ,7–9
,5722,海域,hǎi yù,sea area; territorial waters; maritime space,4915,265014,"0,003115%", ,7–9
,5723,海运,hǎi yùn,shipping by sea,15873,56414,"0,000663%", ,7–9
,5724,海藻,hǎi zǎo,seaweed; marine alga; kelp,25075,27962,"0,000329%", ,7–9
,5725,骇人听闻,hài rén tīng wén,shocking; horrifying; atrocious; terrible,31120,19353,"0,000227%", ,7–9
,5726,害虫,hài chóng,injurious insect; pest,16611,52742,"0,000620%", ,7–9
,5727,害臊,hài sào,to be bashful; to feel ashamed,43396,10559,"0,000124%", ,7–9
,5728,害羞,hài xiū,shy; embarrassed; bashful,7354,159120,"0,001870%",4,7–9
,5729,酣畅,hān chàng,"unrestrained; cheerful lack of inhibition, esp. for drinking or sleeping; to drink with abandon",43445,10534,"0,000124%", ,7–9
,5730,酣睡,hān shuì,to sleep soundly; to fall into a deep sleep,36886,14374,"0,000169%", ,7–9
,5731,含糊,hán hu,ambiguous; vague; careless; perfunctory,15972,55939,"0,000657%",6,7–9
,5732,含蓄,hán xù,"to contain; to hold; (of a person or style etc) reserved; restrained; (of words, writings) full of hidden meaning; implicit; veiled (criticism)",11645,86834,"0,001021%", ,7–9
,5733,函授,hán shòu,to teach by correspondence,24256,29521,"0,000347%", ,7–9
,5734,涵盖,hán gài,to cover; to comprise; to include,7344,159524,"0,001875%", ,7–9
,5735,涵义,hán yì,content; meaning; connotation; implication,—,—,—, ,7–9
,5736,罕见,hǎn jiàn,rare; rarely seen,4504,294264,"0,003458%",6,7–9
,5737,汗水,hàn shuǐ,sweat; perspiration,7774,149015,"0,001751%", ,7–9
,5738,旱灾,hàn zāi,drought,20550,38282,"0,000450%", ,7–9
,5739,捍卫,hàn wèi,to defend; to uphold; to safeguard,8440,133439,"0,001568%",6,7–9
,5740,行家,háng jiā,connoisseur; expert; veteran,16224,54676,"0,000643%", ,7–9
,5741,行列,háng liè,ranks; procession,5281,241198,"0,002835%",6,7–9
,5742,行情,háng qíng,market price; quotation of market price; the current market situation,1714,876439,"0,010301%", ,7–9
,5743,航海,háng hǎi,sailing; navigation; voyage by sea,10611,98806,"0,001161%", ,7–9
,5744,航天,háng tiān,space flight,3595,387888,"0,004559%",6,7–9
,5745,航天员,háng tiān yuán,astronaut,7965,144438,"0,001698%", ,7–9
,5746,航行,háng xíng,to sail; to fly; to navigate,9316,117032,"0,001375%",6,7–9
,5747,航运,háng yùn,shipping; transport,9759,110368,"0,001297%", ,7–9
,5748,毫不,háo bù,hardly; not in the least; not at all,4346,307955,"0,003619%", ,7–9
,5749,毫不犹豫,háo bù yóu yù,without the slightest hesitation,8640,128856,"0,001514%", ,7–9
,5750,毫无,háo wú,not in the least; to completely lack,2026,745190,"0,008758%",6,7–9
,5751,豪华,háo huá,luxurious,2297,645796,"0,007590%",5,7–9
,5752,好比,hǎo bǐ,to be just like; can be compared to,8652,128682,"0,001512%", ,7–9
,5753,好歹,hǎo dǎi,good and bad; most unfortunate occurrence; in any case; whatever,10686,97822,"0,001150%", ,7–9
,5754,好感,hǎo gǎn,good opinion; favorable impression,6615,182492,"0,002145%", ,7–9
,5755,好坏,hǎo huài,good or bad; good and bad; standard; quality,6774,176772,"0,002078%", ,7–9
,5756,好家伙,hǎo jiā huo,my God!; oh boy!; man!,30854,19649,"0,000231%", ,7–9
,5757,好评,hǎo píng,favorable criticism; positive evaluation,4756,276270,"0,003247%", ,7–9
,5758,好说,hǎo shuō,easy to deal with; not a problem; (polite answer) you flatter me,8272,136760,"0,001607%", ,7–9
,5759,好笑,hǎo xiào,laughable; funny; ridiculous,5142,250065,"0,002939%", ,7–9
,5760,好心,hǎo xīn,kindness; good intentions,7824,147530,"0,001734%", ,7–9
,5761,好心人,hǎo xīn rén,"kindhearted person, good Samaritan",9576,113222,"0,001331%", ,7–9
,5762,好意,hǎo yì,good intention; kindness,17303,49599,"0,000583%", ,7–9
,5763,好在,hǎo zài,luckily; fortunately,4435,301202,"0,003540%", ,7–9
,5764,号称,hào chēng,to be known as; to be nicknamed; to be purportedly; to claim (often exaggeratedly or falsely),6298,193046,"0,002269%", ,7–9
,5765,好客,hào kè,hospitality; to treat guests well; to enjoy having guests; hospitable; friendly,34332,16334,"0,000192%",5,7–9
,5766,好奇心,hào qí xīn,interest in sth; curiosity; inquisitive,11368,89973,"0,001057%", ,7–9
,5767,耗费,hào fèi,to waste; to spend; to consume; to squander,10255,103285,"0,001214%",6,7–9
,5768,耗时,hào shí,time-consuming; to take a period of (x amount of time),16317,54170,"0,000637%", ,7–9
,5769,浩劫,hào jié,calamity; catastrophe; apocalypse,24350,29329,"0,000345%", ,7–9
,5770,呵护,hē hù,to bless; to cherish; to take good care of; to conserve,7325,159961,"0,001880%", ,7–9
,5771,禾苗,hé miáo,seedling (of rice or other grain),37138,14198,"0,000167%", ,7–9
,5772,合唱,hé chàng,chorus; to chorus,8603,129842,"0,001526%", ,7–9
,5773,合乎,hé hū,to accord with; conforming to,14328,65128,"0,000765%", ,7–9
,5774,合伙,hé huǒ,to act jointly; to form a partnership,10022,106354,"0,001250%",6,7–9
,5775,合计,hé jì,to add up the total; to figure what sth amounts to; to consider,5288,240882,"0,002831%", ,7–9
,5776,合情合理,hé qíng hé lǐ,reasonable and fair (idiom),25231,27653,"0,000325%", ,7–9
,5777,合影,hé yǐng,to take a joint photo; group photo,5605,222770,"0,002618%",5,7–9
,5778,合资,hé zī,joint venture,2874,503045,"0,005912%", ,7–9
,5779,合作社,hé zuò shè,cooperative; workers’ or agricultural producers’ cooperative etc,6186,197332,"0,002319%", ,7–9
,5780,何必,hé bì,there is no need; why should,3819,361022,"0,004243%",5,7–9
,5781,何处,hé chù,whence; where,6188,197290,"0,002319%", ,7–9
,5782,何苦,hé kǔ,why bother?; is it worth the trouble?,15305,59229,"0,000696%", ,7–9
,5783,何况,hé kuàng,let alone; to say nothing of; besides; what’s more,5190,247081,"0,002904%",5,7–9
,5784,何时,hé shí,when,3793,363438,"0,004271%", ,7–9
,5785,和蔼,hé ǎi,kindly; nice; amiable,20992,37049,"0,000435%",6,7–9
,5786,和解,hé jiě,to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled,8629,129314,"0,001520%",6,7–9
,5787,和睦,hé mù,peaceful relations; harmonious,13228,72879,"0,000857%",6,7–9
,5788,和平共处,hé píng gòng chǔ,"peaceful coexistence of nations, societies etc",19625,41064,"0,000483%", ,7–9
,5789,和气,hé qi,friendly; polite; amiable,19713,40800,"0,000480%",6,7–9
,5790,和尚,hé shang,Buddhist monk,4149,324843,"0,003818%", ,7–9
,5791,河流,hé liú,river,6860,173833,"0,002043%", ,7–9
,5792,河畔,hé pàn,riverside; river plain,18366,45382,"0,000533%", ,7–9
,5793,荷花,hé huā,lotus,13932,67722,"0,000796%", ,7–9
,5794,核电站,hé diàn zhàn,nuclear power plant,17538,48712,"0,000573%", ,7–9
,5795,核对,hé duì,to check; to verify; to audit; to examine,11407,89575,"0,001053%", ,7–9
,5796,核能,hé néng,nuclear energy,14607,63504,"0,000746%", ,7–9
,5797,核实,hé shí,to verify; to check,5871,210010,"0,002468%", ,7–9
,5798,核桃,hé tao,walnut,8042,142338,"0,001673%", ,7–9
,5799,核武器,hé wǔ qì,nuclear weapon,5869,210050,"0,002469%", ,7–9
,5800,贺电,hè diàn,congratulatory telegram,15338,59050,"0,000694%", ,7–9
,5801,贺信,hè xìn,congratulatory letter or message,25885,26533,"0,000312%", ,7–9
,5802,喝彩,hè cǎi,to acclaim; to cheer,11352,90263,"0,001061%", ,7–9
,5803,赫然,hè rán,with astonishment; with a shock; awe-inspiringly; impressively; furiously (angry),10376,101546,"0,001193%", ,7–9
,5804,鹤立鸡群,hè lì jī qún,a crane in a flock of chicken (idiom); way above the common; manifestly superior,43285,10621,"0,000125%", ,7–9
,5805,黑白,hēi bái,black and white; right and wrong; monochrome,5603,222850,"0,002619%", ,7–9
,5806,黑客,hēi kè,hacker (computing) (loanword),—,—,—, ,7–9
,5807,黑马,hēi mǎ,dark horse; fig. unexpected winner,9984,106933,"0,001257%", ,7–9
,5808,黑手,hēi shǒu,lit. black hand; malign agent who manipulates from behind the scenes/hidden hand; (Tw) mechanic; blue-collar worker; manual laborer,16892,51411,"0,000604%", ,7–9
,5809,黑心,hēi xīn,ruthless and lacking in conscience; vicious mind full of hatred and jealousy; black core (flaw in pottery),17127,50381,"0,000592%", ,7–9
,5810,痕迹,hén jì,vestige; mark; trace,4292,311808,"0,003665%",6,7–9
,5811,恨不得,hèn bu de,wishing one could do sth; to hate to be unable; itching to do sth,9242,118268,"0,001390%",6,7–9
,5812,横七竖八,héng qī shù bā,in disorder; at sixes and sevens (idiom),38283,13417,"0,000158%", ,7–9
,5813,横向,héng xiàng,horizontal; orthogonal; perpendicular; lateral; crosswise,7574,153638,"0,001806%", ,7–9
,5814,轰动,hōng dòng,to cause a sensation; to create a stir in (a place); commotion; controversy,8296,136425,"0,001603%",6,7–9
,5815,轰炸,hōng zhà,to bomb; to bombard,6907,172379,"0,002026%", ,7–9
,5816,哄堂大笑,hōng táng dà xiào,the whole room roaring with laughter (idiom),38890,13052,"0,000153%", ,7–9
,5817,烘干,hōng gān,to dry over a stove,18573,44673,"0,000525%", ,7–9
,5818,烘托,hōng tuō,background (of a painting); backdrop; a foil (to set off something to advantage); to offset (something to advantage),22486,33301,"0,000391%", ,7–9
,5819,弘扬,hóng yáng,to enhance; to promote; to enrich,6226,195712,"0,002300%", ,7–9
,5820,红灯,hóng dēng,red light,9563,113429,"0,001333%", ,7–9
,5821,红火,hóng huǒ,prosperous,9477,114629,"0,001347%", ,7–9
,5822,红扑扑,hóng pū pū,red; rosy; flushed,50093,7960,"0,000094%", ,7–9
,5823,红润,hóng rùn,ruddy; rosy; florid,16278,54344,"0,000639%", ,7–9
,5824,红薯,hóng shǔ,sweet potato,10365,101663,"0,001195%", ,7–9
,5825,红眼,hóng yǎn,(photography) red eye; bloodshot eye,33989,16632,"0,000195%", ,7–9
,5826,宏观,hóng guān,macro-; macroscopic; holistic,2971,486307,"0,005716%",6,7–9
,5827,宏伟,hóng wěi,grand; imposing; magnificent,8621,129437,"0,001521%",6,7–9
,5828,洪亮,hóng liàng,loud and clear; resonant,28866,21959,"0,000258%", ,7–9
,5829,喉咙,hóu lóng,throat; larynx,6150,198622,"0,002334%",6,7–9
,5830,后备,hòu bèi,reserve; backup,8713,127712,"0,001501%", ,7–9
,5831,后备箱,hòu bèi xiāng,trunk; boot (of a car),—,—,—, ,7–9
,5832,后代,hòu dài,descendant; progeny; posterity; later ages; later generations,7896,145968,"0,001716%",6,7–9
,5833,后盾,hòu dùn,support; backing,15170,60018,"0,000705%", ,7–9
,5834,后顾之忧,hòu gù zhī yōu,"fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning “no worries about anything”",14506,64147,"0,000754%",6,7–9
,5835,后期,hòu qī,late stage; later period,3329,427843,"0,005028%", ,7–9
,5836,后勤,hòu qín,logistics,6928,171806,"0,002019%",6,7–9
,5837,后人,hòu rén,later generation,8457,133110,"0,001564%", ,7–9
,5838,后台,hòu tái,backstage area; behind-the-scenes supporter; (computing) back-end; background,8612,129569,"0,001523%", ,7–9
,5839,后退,hòu tuì,to recoil; to draw back; to fall back; to retreat,8541,131136,"0,001541%", ,7–9
,5840,后续,hòu xù,follow-up; (dialect) to remarry,5810,212252,"0,002495%", ,7–9
,5841,后遗症,hòu yí zhèng,(medicine) sequelae; residual effects; (fig.) repercussions; aftermath,11676,86437,"0,001016%", ,7–9
,5842,后裔,hòu yì,descendant,17172,50191,"0,000590%", ,7–9
,5843,后者,hòu zhě,the latter,2478,587605,"0,006906%", ,7–9
,5844,厚道,hòu dao,kind and honest; generous; sincere,12397,79638,"0,000936%", ,7–9
,5845,厚度,hòu dù,thickness,5346,237228,"0,002788%", ,7–9
,5846,候选人,hòu xuǎn rén,candidate,3725,372605,"0,004379%", ,7–9
,5847,呼风唤雨,hū fēng huàn yǔ,to call the wind and summon the rain (idiom); to exercise magical powers; fig. to stir up troubles,31480,18994,"0,000223%", ,7–9
,5848,呼唤,hū huàn,to call out (a name etc); to shout,7233,162607,"0,001911%",6,7–9
,5849,呼救,hū jiù,to call for help,16790,51966,"0,000611%", ,7–9
,5850,呼声,hū shēng,"a shout; fig. opinion or demand, esp. expressed by a group",7025,169032,"0,001987%", ,7–9
,5851,呼应,hū yìng,to conform (with); to echo; to correlate well; (linguistics) agreement,11448,88982,"0,001046%", ,7–9
,5852,呼吁,hū yù,to call on (sb to do sth); to appeal (to); an appeal,2580,565164,"0,006642%",6,7–9
,5853,忽高忽低,hū gāo hū dī,"to swell and subside, to undulate",—,—,—, ,7–9
,5854,忽悠,hū you,to rock; to sway; to flicker (e.g. of lights reflected on water); to flutter (e.g. of a flag); to trick sb into doing sth; to dupe; to con,8183,138788,"0,001631%", ,7–9
,5855,胡闹,hú nào,to act willfully and make a scene; to make trouble,18304,45679,"0,000537%", ,7–9
,5856,胡说,hú shuō,to talk nonsense; drivel,13960,67560,"0,000794%",5,7–9
,5857,胡思乱想,hú sī luàn xiǎng,to indulge in flights of fancy (idiom); to let one’s imagination run wild,11711,86169,"0,001013%", ,7–9
,5858,湖泊,hú pō,lake,10774,96952,"0,001139%",6,7–9
,5859,糊涂,hú tu,muddled; silly; confused,6724,178323,"0,002096%",5,7–9
,5860,互补,hù bǔ,complementary; to complement each other,7380,158478,"0,001863%", ,7–9
,5861,互访,hù fǎng,exchange visits,22367,33590,"0,000395%", ,7–9
,5862,互信,hù xìn,mutual trust,—,—,—, ,7–9
,5863,互助,hù zhù,to help each other,8079,141400,"0,001662%", ,7–9
,5864,护理,hù lǐ,to nurse; to tend and protect,2959,488254,"0,005738%", ,7–9
,5865,花瓣,huā bàn,petal,11792,85413,"0,001004%",6,7–9
,5866,花卉,huā huì,flowers and plants,7308,160384,"0,001885%", ,7–9
,5867,花纹,huā wén,decorative design,11623,87097,"0,001024%", ,7–9
,5868,花样,huā yàng,pattern; way of doing sth; trick; (sports) fancy-style (as figure skating etc),6319,192424,"0,002262%", ,7–9
,5869,划算,huá suàn,to calculate; to weigh (pros and cons); to view as profitable; worthwhile; value for money; cost-effective,8415,133914,"0,001574%", ,7–9
,5870,华丽,huá lì,gorgeous,4417,302889,"0,003560%",6,7–9
,5871,华侨,huá qiáo,overseas Chinese; (in a restricted sense) Chinese emigrant who still retains Chinese nationality,5818,211913,"0,002491%",6,7–9
,5872,华裔,huá yì,ethnic Chinese; non-Chinese citizen of Chinese ancestry,11305,90860,"0,001068%",5,7–9
,5873,哗变,huá biàn,mutiny; rebellion,64067,4688,"0,000055%", ,7–9
,5874,哗然,huá rán,in uproar; commotion; causing a storm of protest; tumultuous,20326,38918,"0,000457%", ,7–9
,5875,滑冰,huá bīng,to skate; skating,12973,74983,"0,000881%", ,7–9
,5876,滑稽,huá jī,"comical; funny; amusing; old pr. [gǔ jī]; huaji, a form of comedy performance popular in Shanghai, Jiangsu and Zhejiang",12602,77835,"0,000915%", ,7–9
,5877,滑梯,huá tī,(children’s) sliding board; a slide,33326,17196,"0,000202%", ,7–9
,5878,滑雪,huá xuě,to ski; skiing,6581,183612,"0,002158%", ,7–9
,5879,化肥,huà féi,fertilizer,6376,190719,"0,002242%",6,7–9
,5880,化身,huà shēn,incarnation; reincarnation; embodiment (of abstract idea); personification,9301,117272,"0,001378%", ,7–9
,5881,化纤,huà xiān,synthetic fiber,13680,69486,"0,000817%", ,7–9
,5882,化险为夷,huà xiǎn wéi yí,to turn peril into safety (idiom); to avert disaster,37562,13906,"0,000163%", ,7–9
,5883,化验,huà yàn,chemical examination; to do a lab test,10482,100398,"0,001180%",6,7–9
,5884,化妆,huà zhuāng,to put on makeup,3683,376895,"0,004430%",6,7–9
,5885,划时代,huà shí dài,epoch-marking,23808,30391,"0,000357%", ,7–9
,5886,画册,huà cè,picture album,18165,46151,"0,000542%", ,7–9
,5887,画龙点睛,huà lóng diǎn jīng,to paint a dragon and dot in the eyes (idiom); fig. to add the vital finishing touch; the crucial point that brings the subject to life; a few words to clinch the point,36111,14912,"0,000175%", ,7–9
,5888,画蛇添足,huà shé tiān zú,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it,53379,6955,"0,000082%",6,7–9
,5889,画展,huà zhǎn,art exhibition,18238,45939,"0,000540%", ,7–9
,5890,话费,huà fèi,call charge,—,—,—, ,7–9
,5891,话筒,huà tǒng,microphone; (telephone) receiver; handset,12037,82962,"0,000975%",6,7–9
,5892,话语,huà yǔ,words; speech; utterance; discourse,4356,307144,"0,003610%", ,7–9
,5893,怀抱,huái bào,"to hug; to cherish; within the bosom (of the family); to embrace (also fig. an ideal, aspiration etc)",7801,148123,"0,001741%", ,7–9
,5894,怀旧,huái jiù,fond remembrance of times past; nostalgia,10032,106212,"0,001248%", ,7–9
,5895,怀里,huái lǐ,embrace; bosom,6593,183300,"0,002154%", ,7–9
,5896,怀孕,huái yùn,pregnant; to have conceived; gestation; pregnancy,3635,382000,"0,004490%",5,7–9
,5897,怀着,huái zhe,"with (emotion or motive), harbour (sentiment), be filled with (emotion)",—,—,—, ,7–9
,5898,槐树,huái shù,locust tree (Sophora japonica),32915,17628,"0,000207%", ,7–9
,5899,坏事,huài shì,bad thing; misdeed; to ruin things,6906,172381,"0,002026%", ,7–9
,5900,欢呼,huān hū,to cheer for; to acclaim,6477,187302,"0,002201%", ,7–9
,5901,欢聚,huān jù,to get together socially; to celebrate; party; celebration,26097,26187,"0,000308%", ,7–9
,5902,欢快,huān kuài,cheerful and lighthearted; lively,11246,91616,"0,001077%", ,7–9
,5903,欢声笑语,huān shēng xiào yǔ,cheers and laughter,25062,27985,"0,000329%", ,7–9
,5904,还款,huán kuǎn,repayment; to pay back money,—,—,—, ,7–9
,5905,还原,huán yuán,to restore to the original state; to reconstruct (an event); reduction (chemistry),5815,211958,"0,002491%",6,7–9
,5906,环球,huán qiú,around the world; worldwide,4676,282208,"0,003317%", ,7–9
,5907,环绕,huán rào,to surround; to circle; to revolve around,9263,117978,"0,001387%", ,7–9
,5908,缓和,huǎn hé,to ease (tension); to alleviate; to moderate; to allay; to make more mild,7711,150431,"0,001768%",6,7–9
,5909,缓缓,huǎn huǎn,slowly; unhurriedly; little by little,3599,387594,"0,004555%", ,7–9
,5910,缓慢,huǎn màn,slow; slow-moving,3528,397707,"0,004674%", ,7–9
,5911,幻觉,huàn jué,illusion; hallucination; figment of one’s imagination,13320,72142,"0,000848%", ,7–9
,5912,幻影,huàn yǐng,phantom; mirage,18764,43968,"0,000517%", ,7–9
,5913,换成,huàn chéng,to exchange (sth) for (sth else); to replace with; to convert into,—,—,—, ,7–9
,5914,换取,huàn qǔ,to obtain (sth) in exchange; to exchange (sth) for (sth else),8894,124210,"0,001460%", ,7–9
,5915,换位,huàn wèi,lit. change positions; put oneself in sb else’s shoes,—,—,—, ,7–9
,5916,换言之,huàn yán zhī,in other words,16796,51900,"0,000610%", ,7–9
,5917,唤起,huàn qǐ,"to waken (to action); to rouse (the masses); to evoke (attention, recollection etc)",13523,70521,"0,000829%", ,7–9
,5918,患病,huàn bìng,to fall ill,9255,118061,"0,001388%", ,7–9
,5919,患有,huàn yǒu,to contract (an illness); to be afflicted with; to suffer from,—,—,—, ,7–9
,5920,焕发,huàn fā,to shine; to glow; to irradiate; to flash,13014,74685,"0,000878%", ,7–9
,5921,荒诞,huāng dàn,beyond belief; incredible; preposterous; fantastic,21192,36521,"0,000429%", ,7–9
,5922,荒凉,huāng liáng,desolate,17381,49287,"0,000579%",6,7–9
,5923,荒谬,huāng miù,absurd; ridiculous,15049,60710,"0,000714%",6,7–9
,5924,慌乱,huāng luàn,frenetic; hurried,11915,84246,"0,000990%", ,7–9
,5925,慌张,huāng zhāng,confused; flustered,15386,58789,"0,000691%",5,7–9
,5926,皇宫,huáng gōng,imperial palace,11286,91049,"0,001070%", ,7–9
,5927,皇后,huáng hòu,empress; imperial consort,6101,200622,"0,002358%",6,7–9
,5928,皇上,huáng shang,the emperor; Your majesty the emperor; His imperial majesty,4285,312561,"0,003673%", ,7–9
,5929,皇室,huáng shì,royal family; imperial household; member of the royal family,9832,109223,"0,001284%", ,7–9
,5930,黄昏,huáng hūn,dusk; evening; nightfall,9011,122076,"0,001435%",6,7–9
,5931,恍然大悟,huǎng rán dà wù,to suddenly realize; to suddenly see the light,14042,67020,"0,000788%",6,7–9
,5932,谎话,huǎng huà,lie,22357,33609,"0,000395%", ,7–9
,5933,谎言,huǎng yán,lie,5728,216378,"0,002543%", ,7–9
,5934,晃荡,huàng dang,to rock; to sway; to shake,32837,17680,"0,000208%", ,7–9
,5935,灰尘,huī chén,dust,8962,122833,"0,001444%",5,7–9
,5936,灰心,huī xīn,to lose heart; to be discouraged,22222,33912,"0,000399%",5,7–9
,5937,辉煌,huī huáng,splendid; glorious,3237,440402,"0,005176%",6,7–9
,5938,回归,huí guī,to return to; to retreat; regression (statistics),2327,635170,"0,007465%", ,7–9
,5939,回扣,huí kòu,brokerage; a commission paid to a middleman; euphemism for a bribe; a kickback,10017,106432,"0,001251%", ,7–9
,5940,回馈,huí kuì,to repay a favor; to give back; feedback,8010,143221,"0,001683%", ,7–9
,5941,回落,huí luò,"to fall back; to return to low level after a rise (in water level, price etc)",2845,511500,"0,006012%", ,7–9
,5942,回升,huí shēng,to rise again after a fall; to pick up; rally (stock market etc),4626,285360,"0,003354%", ,7–9
,5943,回首,huí shǒu,to turn around; to look back; to recollect,8238,137651,"0,001618%", ,7–9
,5944,回味,huí wèi,to reflect on; to ponder over; aftertaste,8008,143255,"0,001684%", ,7–9
,5945,回想,huí xiǎng,to recall; to recollect; to think back,6356,191504,"0,002251%", ,7–9
,5946,回忆录,huí yì lù,memoir,18521,44814,"0,000527%", ,7–9
,5947,悔恨,huǐ hèn,remorse; repentance,16891,51417,"0,000604%",6,7–9
,5948,毁坏,huǐ huài,to damage; to devastate; to vandalize; damage; destruction,14820,62249,"0,000732%", ,7–9
,5949,毁灭,huǐ miè,to perish; to ruin; to destroy,7381,158468,"0,001862%",6,7–9
,5950,汇合,huì hé,confluence; to converge; to join; to fuse; fusion,19237,42246,"0,000497%", ,7–9
,5951,汇集,huì jí,to collect; to compile; to converge,8400,134297,"0,001578%", ,7–9
,5952,汇聚,huì jù,convergence; to come together,7764,149212,"0,001754%", ,7–9
,5953,会场,huì chǎng,meeting place; place where people gather,5600,223026,"0,002621%", ,7–9
,5954,会面,huì miàn,to meet with; meeting,9479,114625,"0,001347%", ,7–9
,5955,会晤,huì wù,to meet; meeting; conference,6088,200935,"0,002362%",6,7–9
,5956,会意,huì yì,"combined ideogram (one of the Six Methods 六書|六书[liù shū] of forming Chinese characters); Chinese character that combines the meanings of existing elements; also known as joint ideogram or associative compounds; to comprehend without being told explicitly; to cotton on; knowing (smile, glance etc)",25544,27105,"0,000319%", ,7–9
,5957,会诊,huì zhěn,consultation (medical); to meet for diagnosis; (by extension) consultation of different specialists,13773,68845,"0,000809%", ,7–9
,5958,绘声绘色,huì shēng huì sè,vivid and colorful (idiom); true to life; lively and realistic,45782,9514,"0,000112%", ,7–9
,5959,贿赂,huì lù,to bribe; a bribe,4705,280181,"0,003293%",6,7–9
,5960,昏迷,hūn mí,to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented,7452,156918,"0,001844%",6,7–9
,5961,婚纱,hūn shā,wedding dress,4730,277899,"0,003266%", ,7–9
,5962,婚姻,hūn yīn,matrimony; wedding; marriage,1798,842004,"0,009896%",5,7–9
,5963,浑身,hún shēn,all over; from head to foot,4086,331181,"0,003892%",6,7–9
,5964,混凝土,hùn níng tǔ,concrete,5344,237298,"0,002789%", ,7–9
,5965,混淆,hùn xiáo,to obscure; to confuse; to mix up; to blur; to mislead,12211,81345,"0,000956%",6,7–9
,5966,混浊,hùn zhuó,turbid; muddy; dirty,17707,48006,"0,000564%",6,7–9
,5967,豁出去,huō chu qu,to throw caution to the wind; to press one’s luck; to go for broke,21694,35185,"0,000414%", ,7–9
,5968,活该,huó gāi,(coll.) serve sb right; deservedly; ought; should,12527,78463,"0,000922%",6,7–9
,5969,活期,huó qī,(banking) current (account); checking (account); demand (deposit etc),24712,28647,"0,000337%", ,7–9
,5970,活儿,huó r,work; (lots of) things to do,14227,65775,"0,000773%", ,7–9
,5971,火暴,huǒ bào,variant of 火爆[huǒ bào],32229,18248,"0,000214%", ,7–9
,5972,火锅,huǒ guō,hotpot,2923,493706,"0,005802%", ,7–9
,5973,火候,huǒ hòu,heat control; maturity; crucial moment,20801,37577,"0,000442%", ,7–9
,5974,火花,huǒ huā,spark; sparkle,10035,106192,"0,001248%", ,7–9
,5975,火炬,huǒ jù,a torch,6163,198273,"0,002330%", ,7–9
,5976,火辣辣,huǒ là là,painful heat; scorching; painful heat; rude and forthright; provocative; hot; sexy,28822,22018,"0,000259%", ,7–9
,5977,火热,huǒ rè,fiery; burning; fervent; ardent; passionate,7361,158989,"0,001869%", ,7–9
,5978,火山,huǒ shān,volcano,12324,80305,"0,000944%", ,7–9
,5979,火速,huǒ sù,at top speed; at a tremendous lick,11158,92452,"0,001087%", ,7–9
,5980,火焰,huǒ yàn,blaze; flame,6613,182580,"0,002146%",6,7–9
,5981,火药,huǒ yào,gunpowder,18098,46417,"0,000546%",6,7–9
,5982,伙食,huǒ shí,food; meals,15965,55977,"0,000658%", ,7–9
,5983,或多或少,huò duō huò shǎo,more or less,12514,78553,"0,000923%", ,7–9
,5984,货币,huò bì,currency; monetary; money,1539,977007,"0,011483%",6,7–9
,5985,货车,huò chē,truck; van; freight wagon,3773,366183,"0,004304%", ,7–9
,5986,货物,huò wù,goods; commodity; merchandise,3196,447003,"0,005254%", ,7–9
,5987,货运,huò yùn,freight transport; cargo; transported goods,7067,167831,"0,001973%", ,7–9
,5988,获胜,huò shèng,victorious; to win; to triumph,—,—,—, ,7–9
,5989,获悉,huò xī,to learn of sth; to find out; to get news,1437,1050246,"0,012343%", ,7–9
,5990,祸害,huò hài,disaster; harm; scourge; bad person; to damage; to harm; to wreck,15261,59445,"0,000699%", ,7–9
,5991,霍乱,huò luàn,cholera,23540,31034,"0,000365%", ,7–9
,5992,豁达,huò dá,optimistic; sanguine; generous; magnanimous; open-minded,12869,75661,"0,000889%", ,7–9
,5993,几率,jī lǜ,probability; odds,7409,157864,"0,001855%", ,7–9
